row_type,dataset,scene,variant,strict_required_metric_complete,lpips_skipped,image_key,train_mean_reflection_consistency,train_reflective_region_psnr,train_num_pairs,train_valid_pair_count,train_full_psnr,train_full_ssim,train_full_lpips,train_reflective_psnr,train_reflective_ssim,train_reflective_lpips,train_num_images,test_mean_reflection_consistency,test_reflective_region_psnr,test_num_pairs,test_valid_pair_count,test_full_psnr,test_full_ssim,test_full_lpips,test_reflective_psnr,test_reflective_ssim,test_reflective_lpips,test_num_images,complete_models,expected_models
model,glossy_synthetic,tbell,wo_conf,True,False,pbr_rgb,0.23942040652036667,27.229942321777344,10,10,33.460986154420034,0.9771923848560878,0.032538780194175033,33.845629589898245,0.9785033932753971,0.026686121776167835,112,0.27822865843772887,25.870967674255372,10,10,30.59528350830078,0.9648824259638786,0.041243834188207984,30.98583495616913,0.9678497165441513,0.033868777798488736,16,,
model,glossy_synthetic,tbell,rough_only,True,False,pbr_rgb,0.27762067019939424,27.06384391784668,10,10,33.399973443576265,0.9769530157957759,0.03275987773668021,33.65329018660954,0.9782428789351668,0.02711100518769984,112,0.31866267025470735,25.775622177124024,10,10,30.672104120254517,0.9646560847759247,0.04211357771418989,30.96902620792389,0.9671381674706936,0.03516359895002097,16,,
model,glossy_synthetic,teapot,wo_ref,True,False,pbr_rgb,0.32738696932792666,22.96704692840576,10,10,29.997337307248795,0.968896571546793,0.03792855845365141,30.72246822289058,0.9718835917966706,0.03255064008823995,112,0.2975952297449112,20.604636192321777,10,10,26.757364630699158,0.9463091604411602,0.049635158153250813,27.446690917015076,0.9529455937445164,0.042050453601405025,16,,
model,glossy_synthetic,teapot,wo_conf,True,False,pbr_rgb,0.2990034148097038,23.020755004882812,10,10,29.825058221817017,0.9682536875563008,0.038980431688417284,30.747768793787277,0.9716809998665538,0.03314499553692128,112,0.27440488785505296,20.54795684814453,10,10,26.505435466766357,0.9444573596119881,0.05168903456069529,27.287578344345093,0.9514516703784466,0.0442615810316056,16,,
model,glossy_synthetic,teapot,rough_only,True,False,pbr_rgb,0.3256653338670731,22.861708641052246,10,10,29.88680076599121,0.9683523417583534,0.03880406931109194,30.47533690929413,0.9711746605379241,0.0333432874675574,112,0.30042180716991423,20.399246597290038,10,10,26.576650261878967,0.9443917833268642,0.052103569032624364,27.080671072006226,0.9500642381608486,0.04520484199747443,16,,
aggregate,shiny_blender_synthetic,,wo_ref,,,,0.21180515233427286,35.50198593139648,,,39.97413413047791,0.9885532344381014,0.018039178367374308,41.602831020355225,0.9929313226540883,0.009892355656387129,,0.07545600383697698,31.39551493326823,,,35.642333084742226,0.9770388684173424,0.029530830781101636,36.887973426183066,0.9844267472128073,0.017958168825110383,,6,6
aggregate,shiny_blender_synthetic,,wo_conf,,,,0.10944761099138607,35.26385898590088,,,39.91046457290649,0.9885070237517357,0.01809565032851727,41.498613080978394,0.9929619072874387,0.009293798628690031,,0.03864469725328187,31.467753442128497,,,35.64995491663615,0.9769110878308614,0.02973299187894251,36.874269989331566,0.984405638674895,0.01717010971995478,,6,6
aggregate,shiny_blender_synthetic,,rough_only,,,,0.19319159153383225,35.313420454661056,,,39.9627473449707,0.9885861658056577,0.01798929097742075,41.36411877632141,0.9928954441348712,0.009786465628033815,,0.06957012750208377,31.617156887054442,,,35.616543429692584,0.9768282643953959,0.029734810318089635,36.64806939442953,0.9839867821335793,0.0181130615236907,,6,6
aggregate,glossy_synthetic,,wo_ref,,,,0.17445868374779822,26.341012358665466,,,32.88893705180713,0.9737142964399287,0.035163897081344785,34.14033387388502,0.9801796419279916,0.024096338972282996,,0.1798745750915259,24.311390352249145,,,30.163601741194725,0.9567342675291002,0.04378924088086933,31.46579457819462,0.968752515502274,0.031140419458097313,,8,8
aggregate,glossy_synthetic,,wo_conf,,,,0.15992845837026834,26.352376079559328,,,32.895391087446896,0.9736595936119556,0.035251135587584165,34.176524439028334,0.9800136812430408,0.024235543362530212,,0.16726634963415563,24.291162776947022,,,30.134391993284225,0.9564330391585827,0.043949542567133904,31.42983829975128,0.9682827927172184,0.031484010396525264,,8,8
aggregate,glossy_synthetic,,rough_only,,,,0.175582115072757,26.264969444274904,,,32.928192785808015,0.9737364493443498,0.035227579935703295,34.039422599332674,0.9802237184319113,0.02426001963924916,,0.18067174167372285,24.24244463443756,,,30.186743333935738,0.9565872251987457,0.04395361150091048,31.342510998249054,0.9682444971986115,0.03142245165508939,,8,8
