dataset,split,scene,variant,metric,value,metric_direction
glossy_synthetic,train,teapot,rc,reflective_ssim,0.971477758139372,higher
glossy_synthetic,train,teapot,rc,reflective_lpips,0.0330767084877671,lower
glossy_synthetic,train,teapot,rc,reflective_region_psnr,22.8585039138794,higher
glossy_synthetic,train,teapot,rc,full_psnr,30.01481435980116,higher
glossy_synthetic,train,teapot,rc,full_ssim,0.9691854135266372,higher
glossy_synthetic,train,teapot,rc,full_lpips,0.0383540912797408,lower
glossy_synthetic,train,teapot,wo_ref,mean_reflection_consistency,0.3273869693279266,lower
glossy_synthetic,train,teapot,wo_ref,reflective_psnr,30.72246822289058,higher
glossy_synthetic,train,teapot,wo_ref,reflective_ssim,0.9718835917966706,higher
glossy_synthetic,train,teapot,wo_ref,reflective_lpips,0.0325506400882399,lower
glossy_synthetic,train,teapot,wo_ref,reflective_region_psnr,22.96704692840576,higher
glossy_synthetic,train,teapot,wo_ref,full_psnr,29.997337307248795,higher
glossy_synthetic,train,teapot,wo_ref,full_ssim,0.968896571546793,higher
glossy_synthetic,train,teapot,wo_ref,full_lpips,0.0379285584536514,lower
glossy_synthetic,train,teapot,wo_conf,mean_reflection_consistency,0.2990034148097038,lower
glossy_synthetic,train,teapot,wo_conf,reflective_psnr,30.74776879378728,higher
glossy_synthetic,train,teapot,wo_conf,reflective_ssim,0.9716809998665538,higher
glossy_synthetic,train,teapot,wo_conf,reflective_lpips,0.0331449955369212,lower
glossy_synthetic,train,teapot,wo_conf,reflective_region_psnr,23.02075500488281,higher
glossy_synthetic,train,teapot,wo_conf,full_psnr,29.825058221817017,higher
glossy_synthetic,train,teapot,wo_conf,full_ssim,0.9682536875563008,higher
glossy_synthetic,train,teapot,wo_conf,full_lpips,0.0389804316884172,lower
glossy_synthetic,train,teapot,rough_only,mean_reflection_consistency,0.3256653338670731,lower
glossy_synthetic,train,teapot,rough_only,reflective_psnr,30.47533690929413,higher
glossy_synthetic,train,teapot,rough_only,reflective_ssim,0.971174660537924,higher
glossy_synthetic,train,teapot,rough_only,reflective_lpips,0.0333432874675574,lower
glossy_synthetic,train,teapot,rough_only,reflective_region_psnr,22.86170864105225,higher
glossy_synthetic,train,teapot,rough_only,full_psnr,29.88680076599121,higher
glossy_synthetic,train,teapot,rough_only,full_ssim,0.9683523417583534,higher
glossy_synthetic,train,teapot,rough_only,full_lpips,0.0388040693110919,lower
glossy_synthetic,test,angel,base,mean_reflection_consistency,0.1224045969545841,lower
glossy_synthetic,test,angel,base,reflective_psnr,31.02737820148468,higher
glossy_synthetic,test,angel,base,reflective_ssim,0.9697593972086906,higher
glossy_synthetic,test,angel,base,reflective_lpips,0.0227484803763218,lower
glossy_synthetic,test,angel,base,reflective_region_psnr,22.186219787597658,higher
glossy_synthetic,test,angel,base,full_psnr,29.736383318901066,higher
glossy_synthetic,test,angel,base,full_ssim,0.9514805562794209,higher
glossy_synthetic,test,angel,base,full_lpips,0.0395800936967134,lower
glossy_synthetic,test,angel,rc,mean_reflection_consistency,0.1077954076230525,lower
glossy_synthetic,test,angel,rc,reflective_psnr,31.093984007835388,higher
glossy_synthetic,test,angel,rc,reflective_ssim,0.9696534723043442,higher
glossy_synthetic,test,angel,rc,reflective_lpips,0.022523145424202,lower
glossy_synthetic,test,angel,rc,reflective_region_psnr,22.699249267578125,higher
glossy_synthetic,test,angel,rc,full_psnr,29.881834983825684,higher
glossy_synthetic,test,angel,rc,full_ssim,0.9524393528699876,higher
glossy_synthetic,test,angel,rc,full_lpips,0.0393520023208111,lower
glossy_synthetic,test,angel,wo_ref,mean_reflection_consistency,0.1236945025622844,lower
glossy_synthetic,test,angel,wo_ref,reflective_psnr,31.33213770389557,higher
glossy_synthetic,test,angel,wo_ref,reflective_ssim,0.971696510910988,higher
glossy_synthetic,test,angel,wo_ref,reflective_lpips,0.0216047034482471,lower
glossy_synthetic,test,angel,wo_ref,reflective_region_psnr,22.452810096740723,higher
glossy_synthetic,test,angel,wo_ref,full_psnr,29.867521286010746,higher
glossy_synthetic,test,angel,wo_ref,full_ssim,0.952394612133503,higher
glossy_synthetic,test,angel,wo_ref,full_lpips,0.0393029106780886,lower
glossy_synthetic,test,angel,wo_conf,mean_reflection_consistency,0.1122384257614612,lower
glossy_synthetic,test,angel,wo_conf,reflective_psnr,31.226865768432617,higher
glossy_synthetic,test,angel,wo_conf,reflective_ssim,0.9701294265687466,higher
glossy_synthetic,test,angel,wo_conf,reflective_lpips,0.0225639516720548,lower
glossy_synthetic,test,angel,wo_conf,reflective_region_psnr,22.418060111999512,higher
glossy_synthetic,test,angel,wo_conf,full_psnr,29.8094334602356,higher
glossy_synthetic,test,angel,wo_conf,full_ssim,0.9516350738704203,higher
glossy_synthetic,test,angel,wo_conf,full_lpips,0.0394022548571229,lower
glossy_synthetic,test,angel,rough_only,mean_reflection_consistency,0.1221361257135868,lower
glossy_synthetic,test,angel,rough_only,reflective_psnr,30.950470328331,higher
glossy_synthetic,test,angel,rough_only,reflective_ssim,0.9699157811701298,higher
glossy_synthetic,test,angel,rough_only,reflective_lpips,0.0225148928002454,lower
glossy_synthetic,test,angel,rough_only,reflective_region_psnr,22.239760971069337,higher
glossy_synthetic,test,angel,rough_only,full_psnr,29.72672843933105,higher
glossy_synthetic,test,angel,rough_only,full_ssim,0.9512455835938454,higher
glossy_synthetic,test,angel,rough_only,full_lpips,0.0400116737000644,lower
glossy_synthetic,test,bell,base,mean_reflection_consistency,0.109719630330801,lower
glossy_synthetic,test,bell,base,reflective_psnr,32.164868116378784,higher
glossy_synthetic,test,bell,base,reflective_ssim,0.9666688106954098,higher
glossy_synthetic,test,bell,base,reflective_lpips,0.0347917609615251,lower
