dataset,split,scene,variant,metric,value,metric_direction,source_file,valid_flag,note
glossy_synthetic,train,bell,rough_only,full_psnr,34.232450008392334,higher,docs/superpowers/logs/rc-refgs-fd-p2-lite-complete-metrics-ablation-table-2026-05-29.csv,True,absolute per-scene metric from complete ablation table
glossy_synthetic,train,bell,rough_only,full_ssim,0.976803178765944,higher,docs/superpowers/logs/rc-refgs-fd-p2-lite-complete-metrics-ablation-table-2026-05-29.csv,True,absolute per-scene metric from complete ablation table
glossy_synthetic,train,bell,rough_only,full_lpips,0.0329372637206688,lower,docs/superpowers/logs/rc-refgs-fd-p2-lite-complete-metrics-ablation-table-2026-05-29.csv,True,absolute per-scene metric from complete ablation table
glossy_synthetic,train,bell,rough_only,reflective_psnr,34.85300987107413,higher,docs/superpowers/logs/rc-refgs-fd-p2-lite-complete-metrics-ablation-table-2026-05-29.csv,True,absolute per-scene metric from complete ablation table
glossy_synthetic,train,bell,rough_only,reflective_ssim,0.9793340042233468,higher,docs/superpowers/logs/rc-refgs-fd-p2-lite-complete-metrics-ablation-table-2026-05-29.csv,True,absolute per-scene metric from complete ablation table
glossy_synthetic,train,bell,rough_only,reflective_lpips,0.0270949976319181,lower,docs/superpowers/logs/rc-refgs-fd-p2-lite-complete-metrics-ablation-table-2026-05-29.csv,True,absolute per-scene metric from complete ablation table
glossy_synthetic,train,bell,rough_only,valid_pair_count,10.0,count,docs/superpowers/logs/rc-refgs-fd-p2-lite-complete-metrics-ablation-table-2026-05-29.csv,True,absolute per-scene metric from complete ablation table
glossy_synthetic,train,bell,rough_only,num_pairs,10.0,count,docs/superpowers/logs/rc-refgs-fd-p2-lite-complete-metrics-ablation-table-2026-05-29.csv,True,absolute per-scene metric from complete ablation table
glossy_synthetic,train,bell,rough_only,num_images,112.0,count,docs/superpowers/logs/rc-refgs-fd-p2-lite-complete-metrics-ablation-table-2026-05-29.csv,True,absolute per-scene metric from complete ablation table
glossy_synthetic,train,cat,base,mean_reflection_consistency,0.1224585108458995,lower,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary; included as base/rc variants for ablation comparison
glossy_synthetic,train,cat,base,reflective_region_psnr,28.26777744293213,higher,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary; included as base/rc variants for ablation comparison
glossy_synthetic,train,cat,base,full_psnr,36.00860548019409,higher,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary; included as base/rc variants for ablation comparison
glossy_synthetic,train,cat,base,full_ssim,0.9855903860713754,higher,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary; included as base/rc variants for ablation comparison
glossy_synthetic,train,cat,base,full_lpips,0.0293366401788911,lower,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary; included as base/rc variants for ablation comparison
glossy_synthetic,train,cat,base,reflective_psnr,36.98094197681972,higher,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary; included as base/rc variants for ablation comparison
glossy_synthetic,train,cat,base,reflective_ssim,0.989677577146462,higher,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary; included as base/rc variants for ablation comparison
glossy_synthetic,train,cat,base,reflective_lpips,0.0180683377298659,lower,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary; included as base/rc variants for ablation comparison
